PositionalColumnId,Position,CandidateCanonicalName,SchemaVariantStatus,AcquisitionClassification,ClassificationReason,VariantGroup,varexp_main.csv_OriginalHeader,plc_m_varexp.csv_OriginalHeader,G03_varexp.csv_OriginalHeader,BFU_varexp.csv_OriginalHeader,E02_varexp.csv_OriginalHeader
VAREXP_COL_099,99,Chrono_EnableBitTransition,CASE_ONLY_VARIANT,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,CASE_ALIAS_VAREXP_COL_099,Chrono_EnableBitTransition,Chrono_enableBitTransition,Chrono_EnableBitTransition,Chrono_EnableBitTransition,Chrono_enableBitTransition
VAREXP_COL_100,100,Chrono_ResetBitName,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_100,Chrono_ResetBitName,Chrono_ResetBitName,Chrono_ResetBitName,Chrono_ResetBitName,Chrono_ResetBitName
VAREXP_COL_101,101,Chrono_ResetBitTransition,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_101,Chrono_ResetBitTransition,Chrono_ResetBitTransition,Chrono_ResetBitTransition,Chrono_ResetBitTransition,Chrono_ResetBitTransition
VAREXP_COL_102,102,VAREXP_COL_102,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_102,,,,,
VAREXP_COL_103,103,VAREXP_COL_103,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_103,,,,,
VAREXP_COL_104,104,VAREXP_COL_104,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_104,,,,,
VAREXP_COL_105,105,VAREXP_COL_105,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_105,,,,,
VAREXP_COL_106,106,TextSize,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_106,TextSize,TextSize,TextSize,TextSize,TextSize
VAREXP_COL_107,107,VAREXP_COL_107,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_107,,,,,
VAREXP_COL_108,108,TextCommandLevel,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_108,TextCommandLevel,TextCommandLevel,TextCommandLevel,TextCommandLevel,TextCommandLevel
VAREXP_COL_109,109,VAREXP_COL_109,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_109,,,,,
VAREXP_COL_110,110,VAREXP_COL_110,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_110,,,,,
VAREXP_COL_111,111,VAREXP_COL_111,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_111,,,,,
VAREXP_COL_112,112,VAREXP_COL_112,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_112,,,,,
VAREXP_COL_113,113,VAREXP_COL_113,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_113,,,,,
VAREXP_COL_114,114,VAREXP_COL_114,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_114,,,,,
VAREXP_COL_115,115,VAREXP_COL_115,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_115,,,,,
VAREXP_COL_116,116,LNS_NetworkAlias,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_116,LNS_NetworkAlias,LNS_NetworkAlias,LNS_NetworkAlias,LNS_NetworkAlias,LNS_NetworkAlias
VAREXP_COL_117,117,LNS_NodeAlias,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_117,LNS_NodeAlias,LNS_NodeAlias,LNS_NodeAlias,LNS_NodeAlias,LNS_NodeAlias
VAREXP_COL_118,118,LNS_NvName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_118,LNS_NvName,LNS_NvName,LNS_NvName,LNS_NvName,LNS_NvName
VAREXP_COL_119,119,LNS_PollingPeriod,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_119,LNS_PollingPeriod,LNS_PollingPeriod,LNS_PollingPeriod,LNS_PollingPeriod,LNS_PollingPeriod
VAREXP_COL_120,120,LNS_DefaultMonitoring,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_120,LNS_DefaultMonitoring,LNS_DefaultMonitoring,LNS_DefaultMonitoring,LNS_DefaultMonitoring,LNS_DefaultMonitoring
VAREXP_COL_121,121,LNS_FieldName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_121,LNS_FieldName,LNS_FieldName,LNS_FieldName,LNS_FieldName,LNS_FieldName
VAREXP_COL_122,122,VAREXP_COL_122,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_122,,,,,
VAREXP_COL_123,123,VAREXP_COL_123,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_123,,,,,
VAREXP_COL_124,124,VAREXP_COL_124,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_124,,,,,
VAREXP_COL_125,125,VAREXP_COL_125,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_125,,,,,
VAREXP_COL_126,126,DDE_Server,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_126,DDE_Server,DDE_Server,DDE_Server,DDE_Server,DDE_Server
VAREXP_COL_127,127,DDE_Item,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_127,DDE_Item,DDE_Item,DDE_Item,DDE_Item,DDE_Item
VAREXP_COL_128,128,VAREXP_COL_128,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_128,,,,,
VAREXP_COL_129,129,VAREXP_COL_129,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_129,,,,,
VAREXP_COL_130,130,DDE_Format,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_130,DDE_Format,DDE_Format,DDE_Format,DDE_Format,DDE_Format
VAREXP_COL_131,131,DDE_RangBit,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_131,DDE_RangBit,DDE_RangBit,DDE_RangBit,DDE_RangBit,DDE_RangBit
VAREXP_COL_132,132,DDE_AutoItemName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_132,DDE_AutoItemName,DDE_AutoItemName,DDE_AutoItemName,DDE_AutoItemName,DDE_AutoItemName
VAREXP_COL_133,133,DDE_Label,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_133,DDE_Label,DDE_Label,DDE_Label,DDE_Label,DDE_Label
VAREXP_COL_134,134,VAREXP_COL_134,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_134,,,,,
VAREXP_COL_135,135,VAREXP_COL_135,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_135,,,,,
VAREXP_COL_136,136,ExtBinary,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_136,ExtBinary,ExtBinary,ExtBinary,ExtBinary,ExtBinary
VAREXP_COL_137,137,ExtText3,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_137,ExtText3,ExtText3,ExtText3,ExtText3,ExtText3
VAREXP_COL_138,138,ExtText4,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_138,ExtText4,ExtText4,ExtText4,ExtText4,ExtText4
VAREXP_COL_139,139,ExtText5,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_139,ExtText5,ExtText5,ExtText5,ExtText5,ExtText5
VAREXP_COL_140,140,ExtText6,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_140,ExtText6,ExtText6,ExtText6,ExtText6,ExtText6
VAREXP_COL_141,141,ExtText7,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_141,ExtText7,ExtText7,ExtText7,ExtText7,ExtText7
VAREXP_COL_142,142,ExtText8,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_142,ExtText8,ExtText8,ExtText8,ExtText8,ExtText8
VAREXP_COL_143,143,ExtText9,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_143,ExtText9,ExtText9,ExtText9,ExtText9,ExtText9
VAREXP_COL_144,144,ExtText10,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_144,ExtText10,ExtText10,ExtText10,ExtText10,ExtText10
VAREXP_COL_145,145,ExtText11,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_145,ExtText11,ExtText11,ExtText11,ExtText11,ExtText11
VAREXP_COL_146,146,ExtText12,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_146,ExtText12,ExtText12,ExtText12,ExtText12,ExtText12
VAREXP_COL_147,147,ExtText13,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_147,ExtText13,ExtText13,ExtText13,ExtText13,ExtText13
VAREXP_COL_148,148,ExtText14,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_148,ExtText14,ExtText14,ExtText14,ExtText14,ExtText14
VAREXP_COL_149,149,ExtText15,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_149,ExtText15,ExtText15,ExtText15,ExtText15,ExtText15
VAREXP_COL_150,150,ExtText16,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_150,ExtText16,ExtText16,ExtText16,ExtText16,ExtText16
VAREXP_COL_151,151,OPC_Server,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_151,OPC_Server,OPC_Server,OPC_Server,OPC_Server,OPC_Server
VAREXP_COL_152,152,OPC_Group,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_152,OPC_Group,OPC_Group,OPC_Group,OPC_Group,OPC_Group
VAREXP_COL_153,153,OPC_ItemId,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_153,OPC_ItemId,OPC_ItemId,OPC_ItemId,OPC_ItemId,OPC_ItemId
VAREXP_COL_154,154,OPC_AccessPath,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_154,OPC_AccessPath,OPC_AccessPath,OPC_AccessPath,OPC_AccessPath,OPC_AccessPath
VAREXP_COL_155,155,OPC_IsArray,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_155,OPC_IsArray,OPC_IsArray,OPC_IsArray,OPC_IsArray,OPC_IsArray
VAREXP_COL_156,156,OPC_ArrayIndex,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_156,OPC_ArrayIndex,OPC_ArrayIndex,OPC_ArrayIndex,OPC_ArrayIndex,OPC_ArrayIndex
VAREXP_COL_157,157,OPC_CustomizationExpression,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_157,OPC_CustomizationExpression,OPC_CustomizationExpression,OPC_CustomizationExpression,OPC_CustomizationExpression,OPC_CustomizationExpression
VAREXP_COL_158,158,VAREXP_COL_158,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_158,,,,,
VAREXP_COL_159,159,VAREXP_COL_159,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_159,,,,,
VAREXP_COL_160,160,VAREXP_COL_160,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_160,,,,,
VAREXP_COL_161,161,VAREXP_COL_161,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_161,,,,,
VAREXP_COL_162,162,DeadbandType,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_162,DeadbandType,DeadbandType,DeadbandType,DeadbandType,DeadbandType
VAREXP_COL_163,163,Recorder,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_163,Recorder,Recorder,Recorder,Recorder,Recorder
VAREXP_COL_164,164,MaskExpressionBranch,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_164,MaskExpressionBranch,MaskExpressionBranch,MaskExpressionBranch,MaskExpressionBranch,MaskExpressionBranch
VAREXP_COL_165,165,MaskExpressionTemplate,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_165,MaskExpressionTemplate,MaskExpressionTemplate,MaskExpressionTemplate,MaskExpressionTemplate,MaskExpressionTemplate
VAREXP_COL_166,166,MessageAlarm,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_166,MessageAlarm,MessageAlarm,MessageAlarm,MessageAlarm,MessageAlarm
VAREXP_COL_167,167,VAREXP_COL_167,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_167,,,,,
VAREXP_COL_168,168,VAREXP_COL_168,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_168,,,,,
VAREXP_COL_169,169,BACnet_NetworkName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_169,BACnet_NetworkName,BACnet_NetworkName,BACnet_NetworkName,BACnet_NetworkName,BACnet_NetworkName
VAREXP_COL_170,170,BACnet_DeviceName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_170,BACnet_DeviceName,BACnet_DeviceName,BACnet_DeviceName,BACnet_DeviceName,BACnet_DeviceName
VAREXP_COL_171,171,BACnet_ObjectType,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_171,BACnet_ObjectType,BACnet_ObjectType,BACnet_ObjectType,BACnet_ObjectType,BACnet_ObjectType
VAREXP_COL_172,172,BACnet_ObjectInstance,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_172,BACnet_ObjectInstance,BACnet_ObjectInstance,BACnet_ObjectInstance,BACnet_ObjectInstance,BACnet_ObjectInstance
VAREXP_COL_173,173,BACnet_Property,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_173,BACnet_Property,BACnet_Property,BACnet_Property,BACnet_Property,BACnet_Property
VAREXP_COL_174,174,BACnet_Fields,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_174,BACnet_Fields,BACnet_Fields,BACnet_Fields,BACnet_Fields,BACnet_Fields
VAREXP_COL_175,175,BACnet_PollingPeriod,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_175,BACnet_PollingPeriod,BACnet_PollingPeriod,BACnet_PollingPeriod,BACnet_PollingPeriod,BACnet_PollingPeriod
VAREXP_COL_176,176,BACnet_MonitoringType,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_176,BACnet_MonitoringType,BACnet_MonitoringType,BACnet_MonitoringType,BACnet_MonitoringType,BACnet_MonitoringType
VAREXP_COL_177,177,BACnet_Priority,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_177,BACnet_Priority,BACnet_Priority,BACnet_Priority,BACnet_Priority,BACnet_Priority
VAREXP_COL_178,178,BACnet_Type,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_178,BACnet_Type,BACnet_Type,BACnet_Type,BACnet_Type,BACnet_Type
VAREXP_COL_179,179,VAREXP_COL_179,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_179,,,,,
VAREXP_COL_180,180,BrowsingLevel,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_180,BrowsingLevel,BrowsingLevel,BrowsingLevel,BrowsingLevel,BrowsingLevel
VAREXP_COL_181,181,AlarmAcknowledgmentLevel,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_181,AlarmAcknowledgmentLevel,AlarmAcknowledgmentLevel,AlarmAcknowledgmentLevel,AlarmAcknowledgmentLevel,AlarmAcknowledgmentLevel
VAREXP_COL_182,182,AlarmMaskLevel,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_182,AlarmMaskLevel,AlarmMaskLevel,AlarmMaskLevel,AlarmMaskLevel,AlarmMaskLevel
VAREXP_COL_183,183,AlarmMaintenanceLevel,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_183,AlarmMaintenanceLevel,AlarmMaintenanceLevel,AlarmMaintenanceLevel,AlarmMaintenanceLevel,AlarmMaintenanceLevel
VAREXP_COL_184,184,WithInitialValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_184,WithInitialValue,WithInitialvalue,WithInitialValue,WithInitialValue,WithInitialvalue
VAREXP_COL_185,185,InitialValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_185,InitialValue,Initialvalue,InitialValue,InitialValue,Initialvalue
VAREXP_COL_186,186,104_NetworkName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_186,104_NetworkName,104_NetworkName,104_NetworkName,104_NetworkName,104_NetworkName
VAREXP_COL_187,187,104_DeviceName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_187,104_DeviceName,104_DeviceName,104_DeviceName,104_DeviceName,104_DeviceName
VAREXP_COL_188,188,104_SectorName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_188,104_SectorName,104_SectorName,104_SectorName,104_SectorName,104_SectorName
VAREXP_COL_189,189,104_IOA,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_189,104_IOA,104_IOA,104_IOA,104_IOA,104_IOA
VAREXP_COL_190,190,104_Type,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_190,104_Type,104_Type,104_Type,104_Type,104_Type
VAREXP_COL_191,191,104_WriteIOA,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_191,104_WriteIOA,104_WriteIOA,104_WriteIOA,104_WriteIOA,104_WriteIOA
VAREXP_COL_192,192,104_SBO,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_192,104_SBO,104_SBO,104_SBO,104_SBO,104_SBO
VAREXP_COL_193,193,104_QLorQU,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_193,104_QLorQU,104_QLorQU,104_QLorQU,104_QLorQU,104_QLorQU
VAREXP_COL_194,194,104_WriteTimeTag,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_194,104_WriteTimeTag,104_WriteTimeTag,104_WriteTimeTag,104_WriteTimeTag,104_WriteTimeTag
VAREXP_COL_195,195,104_MappingBit,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_195,104_MappingBit,104_MappingBit,104_MappingBit,104_MappingBit,104_MappingBit
