Path,SizeBytes,Type,Purpose,ProductionRisk,Reproducible,SYNTHETIC_SAFE_FOR_GIT,FinalClassification,Reason
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/A/histo/plc_w_histo.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,2583,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/B/histo/G02_histo.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,63,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/C/histo/C11_histo.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,70000,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/ELEC/histo/E02_histo.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,38,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,2552,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/TP/PvTrend_AggregatedStatistics_202506121757.csv,203,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_sensitive/DO_NOT_READ.dat,38,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/DO_NOT_READ.xlsx,39,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/DO_NOT_READ.xml,38,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/UNAPPROVED_SENTINEL.csv,34,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Server Station/histo_log.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/A/histo/plc_w_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,2583,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/B/histo/G02_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,63,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/C/histo/C11_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,70000,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/ELEC/histo/E02_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,38,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,2576,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/fixture_sensitive/USR/SSV Integrated Project/TP/PvTrend_AggregatedStatistics_202506121757.csv,229,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/main/Project Files/DO_NOT_READ.dat,38,Negative-access Fixture,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/DO_NOT_READ.xlsx,39,Negative-access Fixture,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/DO_NOT_READ.xml,38,Negative-access Fixture,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/UNAPPROVED_SENTINEL.csv,34,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Server Station/histo_log.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/A/histo/plc_w_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,2583,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/B/histo/G02_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,63,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/C/histo/C11_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,70000,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/histo/E02_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,38,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,2552,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/main/Project Files/USR/SSV Integrated Project/TP/PvTrend_AggregatedStatistics_202506121757.csv,229,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/DO_NOT_READ.dat,38,Negative-access Fixture,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/DO_NOT_READ.xlsx,39,Negative-access Fixture,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/DO_NOT_READ.xml,38,Negative-access Fixture,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/UNAPPROVED_SENTINEL.csv,34,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Server Station/histo_log.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/A/histo/plc_w_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,2583,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/B/histo/G02_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,63,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/C/histo/C11_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,70000,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/histo/E02_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,38,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,2552,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/pvbad/Project Files/USR/SSV Integrated Project/TP/PvTrend_AggregatedStatistics_202506121757.csv,203,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Execution copy duplicated from canonical fixture
05_QA/rc5_nonproduction/sensitive/Project Files/DO_NOT_READ.dat,38,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/DO_NOT_READ.xlsx,39,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/DO_NOT_READ.xml,38,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/UNAPPROVED_SENTINEL.csv,34,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Server Station/histo_log.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/A/histo/plc_w_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,2583,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/B/histo/G02_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,63,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/C/histo/C11_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,70000,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/histo/E02_histo.csv,75,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,38,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,2576,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/rc5_nonproduction/sensitive/Project Files/USR/SSV Integrated Project/TP/PvTrend_AggregatedStatistics_202506121757.csv,229,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; do not retain credential-like fixture
05_QA/varexp_limited_pilot_rc1/BEFORE_HASHES.json,5324,QA Intermediate,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Validation intermediate
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/NO_ACCESS.dat,24,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/NO_ACCESS.xlsx,25,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/NO_ACCESS.xml,24,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/UNAPPROVED_VAREXP.csv,29,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,11828,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/byteBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,281732,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/NO_ACCESS.dat,24,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/NO_ACCESS.xlsx,25,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/NO_ACCESS.xml,24,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/UNAPPROVED_VAREXP.csv,29,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,11828,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,11792,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/globalBoundary/ProjectRoot/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,11726,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/NO_ACCESS.dat,24,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/NO_ACCESS.xlsx,25,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/NO_ACCESS.xml,24,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/UNAPPROVED_VAREXP.csv,29,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,11828,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,11774,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
